Occupation,"Total
employed",Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
"Total, 16 years and over","147,795",46.8,78.0,12.1,6.4,17.6
Healthcare practitioners and technical occupations,"9,559",74.4,75.6,12.1,9.4,9.4
Chiropractors,66,22.2,90.7,2.4,5.1,6.1
Dentists,173,28.7,78.8,1.4,16.6,5.5
Dietitians and nutritionists,106,91.4,74.7,15.5,8.2,9.9
Optometrists,42,–,–,–,–,–
Pharmacists,327,61.6,67.9,8.3,20.0,3.4
Emergency medicine physicians,17,–,–,–,–,–
Radiologists,25,–,–,–,–,–
Other physicians,929,40.6,67.0,8.5,22.0,8.8
Surgeons,54,26.3,82.4,4.2,13.4,15.6
Physician assistants,141,65.5,79.9,6.3,12.3,7.9
Podiatrists,12,–,–,–,–,–
Audiologists,20,–,–,–,–,–
Occupational therapists,124,86.3,87.6,4.0,7.4,6.5
Physical therapists,281,67.2,77.8,5.2,15.0,4.4
Radiation therapists,10,–,–,–,–,–
Recreational therapists,21,–,–,–,–,–
Respiratory therapists,122,72.4,75.0,18.5,2.3,7.0
Speech-language pathologists,195,94.4,89.7,6.6,3.6,8.5
Exercise physiologists,6,–,–,–,–,–
"Therapists, all other",233,84.4,79.2,11.7,4.3,12.1
Veterinarians,83,64.9,91.9,0.0,5.7,7.0
Registered nurses,"3,256",87.4,75.3,13.4,8.7,7.9
Nurse anesthetists,42,–,–,–,–,–
Nurse midwives,5,–,–,–,–,–
Nurse practitioners,218,88.0,86.2,9.1,3.2,6.3
Acupuncturists,23,–,–,–,–,–
"Healthcare diagnosing or treating practitioners, all other",15,–,–,–,–,–
Clinical laboratory technologists and technicians,331,70.4,72.4,13.7,9.5,19.0
Dental hygienists,190,93.9,88.9,2.1,7.7,10.5
Cardiovascular technologists and technicians,50,71.9,73.9,16.2,6.7,12.3
Diagnostic medical sonographers,90,84.0,79.3,9.3,5.5,5.1
Radiologic technologists and technicians,254,67.8,85.6,6.5,5.4,11.2
Magnetic resonance imaging technologists,57,58.8,74.2,16.3,8.6,6.7
Nuclear medicine technologists and medical dosimetrists,35,–,–,–,–,–
Emergency medical technicians,141,33.7,82.4,11.9,4.0,11.4
Paramedics,78,28.1,93.2,3.9,2.8,8.5
Pharmacy technicians,336,77.2,72.8,15.0,7.2,17.6
Psychiatric technicians,67,82.2,67.6,24.2,1.4,12.1
Surgical technologists,108,71.3,80.9,14.9,2.5,17.3
Veterinary technologists and technicians,105,88.1,91.8,3.2,1.2,9.8
Dietetic technicians and ophthalmic medical technicians,66,73.5,68.5,27.6,2.1,5.3
Licensed practical and licensed vocational nurses,596,90.0,68.0,25.6,2.9,15.3
Medical records specialists,183,95.9,76.8,16.1,1.7,13.2
"Opticians, dispensing",40,–,–,–,–,–
Miscellaneous health technologists and technicians,185,61.7,57.8,24.8,15.3,13.5
Other healthcare practitioners and technical occupations,100,62.8,68.9,17.3,10.8,3.5
Service occupations,"22,853",57.0,72.9,17.0,5.6,25.0
Healthcare support occupations,"4,790",85.3,64.1,25.3,6.2,20.2
Home health aides,571,90.3,55.3,37.4,5.0,25.4
Personal care aides,"1,282",81.5,62.6,22.2,9.4,21.4
Nursing assistants,"1,364",89.3,57.0,35.2,4.7,13.7
Orderlies and psychiatric aides,55,57.5,51.4,37.2,1.2,8.7
Occupational therapy assistants and aides,37,–,–,–,–,–
Physical therapist assistants and aides,78,71.7,88.6,6.6,3.7,5.8
Massage therapists,151,80.6,73.7,10.5,10.0,11.0
Dental assistants,288,93.7,85.8,5.5,4.3,31.7
Medical assistants,561,90.2,72.9,17.4,4.0,27.9
Medical transcriptionists,46,–,–,–,–,–
Pharmacy aides,48,–,–,–,–,–
Veterinary assistants and laboratory animal caretakers,60,75.8,80.3,2.6,1.8,26.7
Phlebotomists,101,84.8,66.0,27.6,2.8,19.0
Other healthcare support workers,147,61.1,65.5,23.6,7.1,23.6
